name,stackSize
The Explorer,28
The Eye of Terror,1
The Eye of the Dragon,10
The Fathomless Depths,6
The Feast,11
The Fletcher,11
The Flora's Gift,50
The Fool,21
The Forgotten Treasure,1
The Formless Sea,13
The Forsaken,15
The Forward Gaze,13
The Fox,19
The Fox in the Brambles,4
The Gambler,19
The Garish Power,17
The Gemcutter,54
The Gentleman,4
The Gladiator,12
The Golden Era,7
The Harvester,44
The Hermit,47
The Heroic Shot,10
The Hoarder,14
Hook,2
The Hunger,3
The Immortal,1
The Incantation,6
The Innocent,11
The Innoculated,20
The Insatiable,10
The Inventor,24
The Jester,3
The Jeweller's Boon,17
The Journalist,40
The Journey,3
The King's Blade,83
The King's Heart,2
The Landing,7
The Last One Standing,4
The Last Supper,10
The Leviathan,1
The Lich,16
The Life Thief,1
The Lion,20
The Long Watch,9
The Lord in Black,4
The Lord of Celebration,3
The Lover,96
THe Lunaris Priestess,31
The Magma Crab,3
The Master,6
The Master Artisan,23
The Mercenary,7
The Messenger,7
The Metalsmith's Gift,75
THe Mind's Eye,2
The Mountain,17
The Nurse,4
The Oath,4
The Obscured,4
The Offering,4
The Offpring,4
The One with All,15
The Opulent,37
The Pack Leader,13
The Pact,4
The Patient,9
The Penitent,16
The Poet,6
The Polymath,4
The Porcupine,13
The Price of Projection,8
The Primordial,8
The Prince of Darkness,2
The Professor,4
The Puzzle,22
The Rabbit's Foot,1
The Rabid Rhoa,16
The Realm,2
The Risk,13
The Rite of Elements,11
The Road to Power,1
THe Ruthless Ceinture,16
The Sacrifice,1
The Saint's Treasure,7
The Scarred Meadow,46
The Scavenger,11
The Scholar,88
The Scout,2
The Seeker,2
The Sephirot,2
The Shepherd's Sandals,6
The Shortcut,1
The Side Quest,5
The Sigil,26
The Siren,6
The Skeleton,23
The Soul,3
The Spark and the Flame,3
The Spoiled Prince,6
The Standoff,24
The Stormcaller,22
The Strategist,2
The Summoner,18
The Sun,32
The Surgeon,22
The Surveyor,18
The Survivalist,24
The Sustenance,1
The Sword King's Salute,33
The Thaumaturgist,1
The Throne,4
The Tinkerer's Table,6
The Tireless Extractor,28
The Tower,21
The Traitor,9
The Trial,21
The Twilight Moon,7
The Twins,16
The Tyrant,5
The Undaunted,3
The Undisputed,1
The Unexpected Prize,4
The Union,18
The Valkyrie,14
The Visionary,30
The Void,27
The Warden,31
The Warlord,2
The Watcher,12
The Web,11
The White Knight,1
THe Whiteout,1
The Wilted Rose,12
The Wind,5
The Witch,31
The Wolf,14
The Wolf's Legacy,6
The Wolf's Shadow,18
THe Wolven King's Bite,1
The Wolverine,7
The World Eater,1
The Wrath,23
The Wretched,17
Thirst for Knowledge,27
Three Faces in the Dark,54
Three Voices,37
Thunderous Skies,36
Time Lost Relic,27
Tranquility,19
Treasure Hunter,8
Triskaidekophobia,7
Turn the other Cheek,38
Unchained,2
Underground Forest,11
Vanity,13
Vinia's Token,35
Violatile Power,15
Winter's Embrace,3
